Date collected,Treatment,Bag #,Broodstock,Silo Number, Vol. for count (mL) ,Total Vol (mL),Count A LIVE,Count A DEAD,Count B LIVE,Count B DEAD,Count C LIVE,Count C DEAD,Total A,Total B,Total C, Mean Larvae / mL , # Larvae Collected , Volume needed for 800 larvae ,# Larvae actually stocked, Approx. larvae sampled , Larvae sample Number (in -80) , # Samples Preserved ,Notes
4/18/18,A1,1 or 15,34,NA,0.5,590,45,0,35,0,55,0,,,55,90,"53,100",8.89,,"50,700",127,,
4/18/18,C1,29 or 30,31,NA,0.5,550,95,0,96,0,94,0,,,94,190,"104,500",4.21,,"102,100",128,,
4/18/18,D2,6 or 7,37,NA,0.5,725,104,0,120,0,100,0,,,100,216,"156,600",3.7,,"154,200",129,,
4/18/18,D2,2 or 8,35,NA,0.5,600,11,0,14,0,22,0,,,22,31,"18,800",25.53,,"16,400",130,,
4/19/18,D2,2 or 8,35,NA,0.25,730,118,0,96,0,106,0,,,,427,"311,467",1.88,,"309,067",131,,
4/19/18,B1,17 or 28,35,NA,0.25,350,75,0,81,0,59,0,,,,287,"100,333",2.79,,"97,933",132,,
4/19/18,C1,31 or 32,29,NA,0.25,350,51,0,47,0,60,0,,,,211,"73,733",3.8,,"71,333",133,,
4/19/18,C2,20 or 22,20,C2-6,0.2,830,98,0,106,0,116,0,,,,533,"442,667",1.5,,"440,267",134,,
4/20/18,A1,1 or 15,34,NA,0.4,630,106,0,111,0,108,0,,,,271,"170,625",2.95,,"168,225",135,,
4/20/18,B2,11 or 13,38,NA,0.4,550,77,0,90,0,97,1,,,,220,"121,000",3.64,,"118,600",136,,
4/20/18,C2,19 or 21,23,NA,0.2,750,127,1,139,2,107,3,,,,622,"466,250",1.29,,"463,850",137,,
4/20/18,D2,2 or 8,35,NA,0.25,945,137,1,155,0,138,0,,,,573,"541,800",1.4,,"539,400",138,,
4/20/18,B1,17 or 28,35,NA,0.6,460,39,0,49,0,51,0,,,,77,"35,522",10.36,,"33,122",139,,
4/20/18,B1,18 or 27,37,NA,0.2,895,95,0,97,0,93,0,,,,475,"425,125",1.68,,"422,725",140,,
4/21/18,B2,9 or 10,40,NA,0.3,800,99,3,99,1,95,0,,,,326,"260,444",2.46,,"258,044",141,,
4/21/18,A1,1 or 15,34,NA,0.15,975,157,0,166,0,147,0,,,,"1,044","1,018,333",0.77,,"1,015,933",142,,
4/22/18,B1,17 or 28,35,NA,0.3,820,102,0,106,0,99,0,,,,341,"279,711",2.35,,"277,311",143,,
4/22/18,D2,2 or 8,35,NA,0.2,960,146,-,123,0,134,0,,,,672,"644,800",1.19,,"642,400",144,,
4/22/18,A1,5 or 16,35,NA,0.3,840,88,0,58,0,82,0,,,,253,"212,800",3.16,,"210,400",145,,
4/22/18,B2,9 or 10,39,NA,0.4,550,42,0,38,0,47,0,,,,106,"58,208",7.56,,"55,808",146,,
4/22/18,D1,12 or 14,35,NA,0.3,730,126,0,114,0,119,0,,,,399,"291,189",2.01,,"288,789",147,,
4/24/18,B1,17 or 28,35,NA,0.3,770,121,0,122,0,114,0,,,,397,"305,433",2.02,,"303,033",148,,
4/25/18,B1,17 or 28,35,NA,0.2,940,190,2,197,1,197,0,,,,973,"914,933",0.82,,"912,533",149,,
4/25/18,A2,23 or 25,33,NA,0.25,875,134,2,136,3,136,2,,,,541,"473,667",1.48,,"471,267",150,,
4/25/18,A1,1 or 15,34,NA,0.3,700,110,0,130,2,125,0,,,,406,"283,889",1.97,,"281,489",151,,
4/25/18,C2,20 or 22,20,NA,0.2,840,118,0,127,1,111,0,,,,593,"498,400",1.35,,"496,000",152,,
4/25/18,B2,11 or 13,38,NA,0.3,650,108,1,116,0,97,1,,,,357,"231,833",2.24,,"229,433",153,,
4/25/18,D1,12 or 14,35,NA,0.3,575,115,2,116,1,154,3,,,,428,"245,972",1.87,,"243,572",154,,
4/27/18,B1,17 or 28,35,NA,0.3,780,112,2,108,0,110,2,,,,367,"286,000",2.18,,"283,600",155,,
